cgpa,resume_score,placed
7.07,8.15,1
8.33,8.51,0
7.06,5.71,0
6.95,7.78,1
6.44,6.27,1
6.7,8.71,1
7.15,7.59,1
7.37,6.77,1
5.68,10.0,1
6.27,6.08,1
6.21,6.77,0
7.83,7.99,1
6.12,6.96,1
7.11,8.14,0
7.48,7.79,0
4.5,6.91,0
8.21,7.95,1
8.59,4.68,1
8.21,5.18,0
8.56,5.95,0
7.52,6.01,1
7.98,6.29,1
8.02,7.14,1
5.65,5.8,0
7.98,6.11,1
5.47,6.86,1
6.06,8.31,1
6.26,4.47,1
5.9,5.97,1
6.87,6.9,0
8.13,5.35,1
7.76,,1
7.79,6.85,0
7.25,8.79,1
7.31,,1
5.94,8.27,0
7.07,5.29,0
8.95,8.41,1
8.48,6.82,1
7.13,5.94,1
6.28,7.48,1
7.21,8.7,1
8.24,,0
4.71,6.85,0
7.53,,1
7.19,7.83,0
8.15,7.71,1
6.25,9.84,1
7.62,8.57,1
6.11,7.03,0
5.41,8.05,0
6.28,10.0,1
6.15,4.79,0
9.13,4.43,1
6.8,6.35,0
6.53,5.56,1
6.76,5.76,1
7.75,6.76,1
6.68,3.0,0
5.59,7.44,1
6.79,,0
7.77,5.62,0
8.0,7.89,1
7.75,7.62,0
8.03,7.46,1
7.5,7.57,0
7.34,5.19,1
6.06,6.01,1
8.62,7.57,1
7.68,5.66,1
6.29,8.64,0
6.4,6.42,1
8.33,,0
6.99,7.72,1
7.88,7.24,0
6.09,4.97,0
7.59,5.29,1
7.61,7.57,1
8.93,,1
7.57,7.25,1
7.52,7.74,1
6.87,8.09,1
6.78,5.39,0
6.3,8.21,0
6.05,6.63,1
6.84,5.16,1
7.88,5.1,1
6.0,,1
7.32,5.32,1
7.95,8.88,1
7.03,7.2,1
7.19,5.13,0
7.4,6.31,0
8.87,,1
6.24,5.87,1
6.57,6.08,0
4.73,7.15,1
6.52,8.22,1
7.74,5.17,1
7.11,5.94,1
7.82,7.49,1
6.78,6.4,1
6.86,,1
4.91,7.0,0
6.0,,1
6.64,5.32,0
8.69,9.21,1
6.97,7.32,0
5.38,5.25,0
6.75,6.53,1
8.33,4.37,1
7.97,7.23,1
6.72,8.23,0
5.34,8.14,1
7.05,6.95,1
5.75,5.41,1
8.25,7.67,0
7.65,5.63,1
6.44,8.19,1
6.97,5.81,1
7.82,,1
6.02,6.14,0
7.54,6.29,1
6.36,7.16,0
4.94,8.09,1
6.84,7.79,0
6.3,,1
7.21,7.52,0
5.34,4.91,1
6.93,6.71,1
5.84,6.41,1
7.27,8.44,1
6.15,6.98,0
7.34,7.75,0
7.26,7.62,0
5.78,,1
8.11,7.98,1
9.36,8.19,1
7.98,7.64,1
7.41,4.97,1
7.1,8.15,1
6.84,7.61,0
5.5,6.65,1
6.27,9.04,1
6.85,,0
6.39,7.71,1
8.63,5.6,1
4.57,4.35,0
8.44,4.84,1
8.55,6.76,1
6.45,7.92,1
7.52,7.6,1
7.42,9.75,1
4.62,8.17,1
7.31,,1
7.18,7.73,1
5.61,8.18,0
9.45,6.25,1
7.45,8.26,1
6.03,6.54,0
9.9,5.99,1
6.54,7.06,1
6.97,7.62,1
9.4,9.57,1
7.62,8.26,1
7.43,6.19,1
5.13,3.99,0
8.5,,1
8.41,9.1,1
6.63,7.77,1
6.79,7.62,1
8.04,8.11,0
7.14,7.9,1
7.0,5.33,0
5.49,10.0,0
4.66,9.44,1
9.04,6.23,1
6.24,6.93,1
6.21,6.89,1
4.75,5.08,0
7.43,5.65,0
8.9,7.78,0
5.93,8.4,1
8.33,,0
5.24,6.85,0
6.22,7.51,0
7.48,7.0,1
6.72,4.85,0
7.91,5.28,0
5.74,8.43,0
4.94,5.11,0
7.2,7.15,1
9.57,9.36,1
8.23,8.83,1
8.75,5.3,1
6.7,7.78,1
8.26,6.48,1
6.97,6.43,1
5.72,6.29,1
6.08,5.79,0
7.04,,0
7.58,,0
7.01,4.43,1
7.71,5.14,0
7.78,4.96,1
5.02,8.13,1
8.01,8.72,1
7.64,6.55,1
6.71,5.34,0
6.48,6.76,1
5.74,4.54,1
6.24,5.12,0
6.49,,1
6.53,7.87,0
4.5,7.32,1
8.1,5.28,1
7.01,7.49,1
6.93,6.09,0
7.18,7.45,1
6.15,5.17,1
8.32,7.21,0
9.25,6.91,0
4.5,8.4,1
7.03,6.15,0
5.74,5.84,1
6.92,6.78,1
5.95,6.85,1
5.85,5.95,0
4.99,10.0,1
6.15,7.11,1
5.96,7.68,1
6.57,6.71,0
6.49,,1
8.56,5.31,0
7.47,5.92,0
7.66,6.21,1
7.56,7.77,1
9.01,6.87,1
7.09,7.6,1
9.02,5.6,1
8.13,7.27,1
5.75,3.32,0
7.32,5.65,1
6.05,5.6,0
7.06,7.44,1
9.32,4.75,1
6.95,5.8,1
6.26,6.11,0
4.75,6.33,1
8.48,6.17,1
7.63,4.5,1
7.7,6.15,1
8.3,5.94,0
4.5,7.37,0
6.03,8.36,1
7.15,7.0,0
7.38,6.41,0
6.54,5.87,0
7.21,6.12,1
7.02,4.6,0
4.74,7.22,1
7.85,8.75,1
9.12,8.08,1
6.56,,1
8.8,5.19,0
6.52,9.24,1
6.95,7.8,1
7.88,5.68,1
5.37,8.26,1
4.5,6.63,0
7.62,6.47,0
7.16,7.68,1
6.22,7.63,1
7.29,5.72,1
4.5,,0
7.25,6.03,0
8.02,5.96,1
7.15,7.55,1
6.3,6.3,0
6.05,7.77,1
7.72,6.26,1
6.84,6.82,0
5.83,7.88,1
6.1,8.14,1
7.92,5.25,1
4.64,,0
7.27,6.58,1
8.06,5.27,0
5.9,,1
6.01,5.1,0
7.1,7.14,1
8.32,5.51,1
7.22,6.71,0
6.92,8.02,0
7.3,5.63,1
8.29,6.09,0
7.78,4.35,0
6.07,5.36,0
8.3,8.27,1
5.24,7.87,1
8.04,7.79,1
6.32,6.76,1
7.81,5.61,1
7.7,5.31,1
8.82,3.99,0
8.5,6.1,0
8.59,5.84,1
6.5,4.47,0
6.23,6.28,0
4.92,8.37,0
7.93,,1
5.37,6.41,1
6.0,7.43,1
8.73,7.47,1
5.97,7.83,0
7.91,7.87,1
6.65,5.6,1
6.95,8.46,1
7.67,7.52,1
6.8,8.3,1
7.88,7.71,1
9.36,7.18,1
6.75,7.76,0
6.32,,1
6.23,6.11,0
6.88,7.28,0
6.27,7.31,1
6.94,8.04,1
6.82,,1
7.54,6.33,0
6.99,6.11,0
7.87,8.29,1
7.73,7.2,0
7.12,7.69,1
8.57,6.9,0
8.42,7.0,1
6.66,5.98,1
7.64,7.82,1
8.21,9.42,1
7.26,,1
6.43,6.19,1
5.36,7.32,1
7.88,7.34,1
6.26,6.65,1
6.55,,0
6.71,8.09,0
8.38,5.29,1
7.41,7.31,0
9.04,7.02,1
6.84,7.36,0
7.32,5.73,1
5.32,5.0,1
8.44,7.24,1
6.98,7.06,1
6.34,,1
4.7,6.38,1
7.11,8.87,0
6.44,7.11,1
8.29,6.78,0
6.32,7.71,0
5.91,5.3,0
6.71,7.9,0
6.23,5.79,1
8.66,5.9,0
9.56,7.17,1
6.35,4.99,0
7.09,7.42,1
4.5,8.27,1
5.07,7.16,0
7.95,6.56,0
8.07,,0
4.93,6.33,0
6.96,4.1,0
6.2,5.01,1
5.12,7.74,1
6.63,6.61,0
7.37,6.83,0
6.86,7.63,1
5.71,6.9,0
7.52,7.51,1
6.82,6.72,1
7.57,5.33,1
7.18,5.7,0
7.96,,1
6.51,7.79,1
7.67,,1
8.2,7.02,1
6.74,5.03,0
6.75,3.96,1
7.51,5.81,0
5.19,6.6,1
7.0,5.86,0
7.87,8.9,1
6.93,7.7,1
7.15,6.67,0
8.75,6.74,1
8.67,,1
6.84,7.73,1
4.85,,0
7.28,3.9,1
5.47,3.0,0
5.79,5.44,0
6.96,5.02,0
5.19,7.27,1
5.67,4.72,0
7.1,6.36,0
7.3,6.02,0
6.48,8.31,0
6.71,7.09,1
7.5,6.78,1
6.61,6.39,1
5.89,7.72,1
6.79,6.06,1
7.31,8.81,1
7.95,8.91,1
6.98,9.31,1
6.21,6.79,0
7.22,7.35,1
6.82,8.75,0
9.85,5.28,0
5.63,5.14,1
6.88,6.53,1
5.57,4.97,1
5.83,7.55,1
5.67,,1
9.65,7.36,1
6.97,7.84,1
9.46,7.46,1
6.17,6.56,1
5.4,,1
4.71,7.22,0
9.14,6.81,0
6.94,7.09,1
4.94,,1
5.73,8.09,1
7.43,,0
6.93,6.24,1
8.26,,0
7.87,7.82,1
5.78,5.14,0
6.98,8.63,1
8.98,8.39,1
7.24,7.58,1
7.92,6.5,0
7.23,,0
7.73,7.17,0
8.37,6.3,1
7.06,7.07,1
7.0,5.06,0
6.56,6.13,1
6.84,8.35,1
7.09,5.85,0
7.49,4.41,0
6.97,6.71,1
8.29,7.66,1
8.81,4.35,0
8.71,,1
7.5,7.66,1
6.01,4.64,1
7.54,5.65,1
7.6,7.18,1
7.49,5.63,1
7.27,,1
6.9,8.72,0
5.72,,1
7.68,7.77,0
8.42,6.12,0
6.75,7.81,0
6.58,6.18,0
8.13,8.75,0
7.07,,1
6.93,4.29,1
7.76,5.72,1
6.19,7.69,1
5.91,6.41,0
7.73,8.01,1
8.22,5.72,1
6.12,4.57,0
5.85,7.21,1
6.71,10.0,1
7.22,,1
8.06,,1
6.07,8.33,1
8.41,,1
7.29,7.81,1
7.28,6.63,1
7.16,,1
4.5,,1
7.52,3.62,1
4.5,6.19,1
6.63,4.87,1
6.95,7.91,1
9.22,6.69,0
7.02,8.14,1
7.18,6.41,1
4.7,5.62,0
5.22,7.86,1
7.7,6.46,0
8.85,5.53,1
8.11,8.17,1
6.99,5.94,0
5.96,6.41,0
7.05,4.5,1
7.38,5.84,1
7.17,8.07,1
8.09,6.47,1
7.14,7.51,0
8.06,8.57,1
5.44,,1
8.03,5.29,0
5.71,9.71,1
7.39,6.34,1
7.32,6.1,1
8.86,,1
8.05,7.81,1
6.36,8.61,1
6.17,5.82,1
9.71,5.96,1
7.89,7.94,1
7.12,6.04,0
7.55,,1
7.26,5.67,1
6.16,7.36,1
4.83,6.59,1
8.16,6.91,0
6.2,8.69,0
7.33,6.8,1
6.25,7.46,0
7.87,6.41,0
8.59,,1
6.28,6.33,1
8.16,8.25,1
9.25,5.39,0
8.39,6.8,0
5.28,5.52,1
6.67,4.78,1
8.15,8.56,1
8.2,4.14,1
6.45,,1
4.5,,1
7.89,5.19,1
6.3,7.24,1
5.72,6.28,1
7.43,7.17,1
8.91,5.54,1
7.61,,1
6.28,8.94,1
8.01,5.85,1
7.44,7.28,1
5.01,8.73,1
7.73,6.61,1
7.37,6.14,0
7.71,5.4,1
5.48,,1
6.41,6.18,1
5.87,5.96,1
8.42,6.16,0
7.16,6.03,0
8.78,5.24,0
7.88,5.42,0
8.19,7.76,1
5.99,8.18,1
6.46,5.81,0
6.01,6.63,0
6.9,7.05,1
7.58,9.01,1
7.07,5.57,0
6.41,6.06,1
7.06,7.41,1
7.83,6.05,1
7.3,6.61,1
7.68,3.0,0
6.76,7.54,0
9.07,5.55,1
6.9,5.13,0
8.32,4.23,1
8.08,8.06,1
4.5,6.16,0
5.2,6.89,0
5.62,,1
6.57,8.2,1
6.76,6.08,1
7.95,9.88,1
7.03,6.88,1
8.12,,1
7.06,9.42,1
6.72,6.78,1
8.08,6.67,0
4.74,8.53,1
10.0,5.59,0
4.79,9.04,1
5.99,5.69,0
6.0,5.55,1
6.86,7.73,1
5.29,6.99,1
8.95,5.4,1
6.82,6.03,1
7.99,8.37,1
6.93,,1
7.4,8.39,0
8.16,6.39,1
6.72,5.41,0
9.03,6.06,1
6.42,8.46,1
8.44,7.47,1
5.58,7.59,0
7.07,6.64,1
8.96,7.26,0
5.1,7.4,1
5.51,6.67,1
7.16,6.11,0
9.08,6.66,0
7.63,,1
7.9,7.4,0
6.54,8.44,0
7.44,7.41,1
5.75,6.45,1
8.13,6.14,1
7.65,6.51,0
7.0,8.26,1
8.49,6.94,1
7.55,4.73,1
7.9,6.64,0
6.18,6.1,0
5.61,7.01,1
4.92,7.46,0
6.22,3.7,0
6.41,9.44,1
6.25,6.6,1
6.73,4.32,0
6.33,7.42,1
5.98,7.97,1
9.04,8.49,1
6.7,3.0,0
7.19,6.37,1
8.68,,1
8.46,6.12,1
5.86,4.89,1
9.13,7.33,1
7.15,8.22,1
7.05,5.44,0
8.78,7.86,1
7.05,5.28,1
6.96,7.1,1
5.13,6.47,1
7.84,6.28,1
4.5,5.88,0
7.29,6.36,1
4.5,,1
7.65,8.31,1
8.17,6.45,1
8.35,7.28,1
7.4,7.52,1
7.36,5.17,0
7.89,6.54,1
7.94,4.72,0
6.63,5.33,1
7.04,5.64,0
6.91,,0
6.93,,1
8.07,5.17,1
6.1,4.0,1
6.88,6.23,0
9.96,4.59,0
6.31,6.08,1
7.14,6.45,0
4.5,,1
6.65,8.16,1
8.62,6.6,1
4.5,7.46,1
5.44,7.1,1
7.03,5.61,1
7.35,,0
7.84,7.68,0
5.09,7.35,1
7.13,7.06,1
6.49,4.53,1
6.8,7.56,1
6.77,6.84,1
6.32,4.75,1
6.09,5.33,1
6.67,6.71,0
7.84,5.37,1
6.16,6.45,1
8.03,,0
4.86,7.09,0
6.32,8.03,1
7.51,6.93,1
6.16,5.44,1
7.02,7.24,1
9.6,6.66,1
5.06,6.87,1
7.9,7.44,1
8.48,5.93,1
5.36,7.35,1
6.34,7.19,1
4.71,6.2,1
8.26,,1
7.02,8.08,1
9.41,4.54,1
7.12,,1
5.49,6.94,1
8.73,5.16,0
4.99,6.33,1
5.61,8.23,0
6.2,6.47,1
7.96,7.78,1
6.88,8.18,1
8.66,7.32,1
7.9,5.03,0
6.5,5.29,0
5.23,6.85,1
6.83,8.08,1
8.09,5.59,0
4.82,6.87,0
7.59,5.55,1
7.21,7.07,1
4.5,6.29,0
6.48,3.83,0
7.59,7.32,1
7.82,6.2,1
6.73,5.94,1
7.4,7.47,1
5.19,6.63,1
7.17,6.15,1
6.81,4.23,1
5.77,4.85,1
5.44,7.82,0
8.24,,1
7.66,4.65,1
7.32,6.38,0
6.36,6.39,0
7.41,8.95,1
6.4,5.05,0
7.04,7.2,1
7.86,7.5,1
8.6,4.64,0
7.14,8.8,1
7.43,7.1,0
8.56,8.55,0
8.73,8.2,0
6.18,,1
7.64,6.29,1
6.16,6.43,0
6.26,9.12,1
6.25,,1
6.99,7.4,1
9.32,6.12,1
6.87,8.2,1
5.37,4.54,0
6.21,4.92,1
6.38,9.16,1
5.81,4.97,0
5.2,7.37,1
4.76,7.43,1
5.83,9.05,0
6.62,4.73,1
6.62,5.28,1
9.12,5.83,1
6.32,7.61,1
5.19,8.03,1
5.53,7.59,1
7.41,,1
6.08,7.11,0
5.59,7.21,1
4.66,,1
7.17,6.16,1
7.73,7.12,0
5.86,7.03,1
6.28,7.57,1
5.95,4.77,0
6.8,6.97,1
10.0,4.94,0
6.43,5.41,0
6.46,7.66,1
6.61,6.26,0
8.31,9.47,1
6.99,6.79,0
8.56,8.33,1
6.83,,1
7.6,7.33,1
6.35,8.68,1
7.45,6.16,1
6.59,6.04,0
8.75,,1
7.23,9.37,1
7.34,8.59,1
5.23,7.34,0
5.97,4.99,0
9.8,5.95,0
5.38,5.94,0
7.22,,1
5.97,,1
8.12,4.72,1
7.04,,1
4.5,7.03,0
7.99,5.72,1
7.65,,1
6.07,8.05,1
7.89,5.74,0
6.71,5.58,0
7.04,7.21,1
7.13,6.48,1
8.09,7.41,0
5.82,6.31,0
8.39,7.43,1
6.64,9.4,1
5.49,5.58,1
7.44,3.83,1
5.69,6.74,1
5.98,5.49,0
6.4,4.28,0
5.46,8.24,1
5.23,4.48,0
6.0,5.14,0
5.97,7.03,1
7.3,7.27,1
9.34,4.96,0
7.93,8.39,1
6.54,6.29,1
8.32,7.19,0
8.17,5.89,1
5.92,6.99,1
5.88,,0
6.76,,1
7.5,4.74,1
10.0,7.16,1
8.05,5.03,0
8.42,6.65,1
5.92,6.87,1
6.98,5.92,1
6.19,6.6,1
9.35,,1
6.9,6.43,1
5.99,7.34,0
8.59,6.34,1
6.43,4.8,0
6.43,6.97,1
6.74,8.17,1
7.87,5.04,1
7.42,6.47,1
8.36,6.56,1
5.61,6.38,0
7.37,6.14,1
5.54,6.6,1
6.3,5.69,1
7.36,6.29,1
7.04,6.49,1
6.35,9.23,1
6.57,8.06,0
7.58,7.38,1
6.83,4.78,0
4.62,7.1,1
6.47,6.82,1
5.46,6.0,0
6.18,5.37,0
6.26,6.01,0
5.8,6.71,1
5.62,4.73,1
8.33,7.94,1
7.31,,1
7.94,,1
7.43,7.62,0
7.21,6.43,1
6.73,6.93,1
5.84,5.88,1
4.55,7.41,0
6.56,7.98,1
4.5,6.83,1
5.47,5.54,1
4.5,4.65,1
6.01,6.37,1
8.36,8.13,1
6.42,,1
7.05,8.63,1
7.02,7.07,1
7.95,6.77,1
8.5,7.93,1
9.32,8.78,1
7.8,3.5,1
7.37,4.92,1
6.63,7.61,1
5.4,5.59,0
8.24,7.62,0
8.41,5.64,1
8.67,,1
4.5,9.17,1
7.8,7.36,1
7.42,,1
6.68,4.44,0
6.35,,1
5.71,8.19,1
6.02,9.35,1
7.92,8.97,1
6.77,8.52,1
6.14,7.53,1
6.49,8.38,1
6.87,6.88,1
7.27,4.14,1
6.46,9.68,1
5.19,4.03,0
7.4,6.26,1
8.49,6.22,0
7.53,,0
6.23,5.48,0
9.36,,1
7.62,6.56,1
9.07,8.33,1
7.11,6.36,0
5.96,6.47,1
6.77,5.07,1
5.76,7.58,1
7.52,7.76,1
8.69,8.6,1
9.07,9.24,0
5.27,5.86,0
8.69,7.64,1
7.36,5.5,1
6.82,3.56,1
6.65,5.81,0
5.61,10.0,1
7.93,4.57,1
6.7,7.14,1
6.97,5.43,1
7.58,7.05,1
7.6,6.82,1
8.34,,0
7.53,5.75,1
7.85,7.02,1
8.34,5.5,1
7.43,7.63,1
7.17,5.24,1
5.08,6.33,1
6.67,6.35,1
8.27,4.89,1
5.52,5.36,1
7.78,6.16,1
7.8,6.51,1
8.58,3.5,1
5.68,6.17,0
8.26,7.22,1
8.45,6.71,0
8.5,6.61,1
7.6,10.0,1
7.65,7.96,0
6.4,4.97,1
5.11,8.88,1
7.81,6.24,1
7.39,,1
8.09,5.38,1
6.8,6.86,0
6.48,7.16,1
7.38,8.75,1
7.89,,1
6.39,4.3,1
9.24,6.9,1
7.51,5.16,1
6.79,6.2,1
5.23,7.12,1
6.87,,1
6.21,,1
8.18,7.43,1
7.53,,1
10.0,10.0,1
6.71,7.89,1
6.62,,1
7.33,6.7,1
6.72,5.71,1
5.74,6.31,0
6.83,7.49,0
8.01,7.98,1
7.2,6.51,0
8.54,7.56,1
6.31,4.76,1
5.41,,1
5.56,5.72,1
4.5,6.91,1
6.58,9.39,1
5.77,5.43,0
6.87,,1
4.5,6.22,1
7.1,7.16,1
6.21,,1
4.5,6.23,1
8.92,6.84,0
9.63,,1
8.88,5.9,1
8.2,7.5,1
5.57,6.19,1
6.25,7.24,1
7.64,7.67,1
9.1,8.51,1
6.17,7.62,0
7.59,5.77,0
8.07,6.78,1
7.65,5.62,1
6.45,7.38,1
6.71,7.0,1
5.15,6.51,1
7.71,6.17,0
5.49,5.95,1
6.95,4.87,0
6.67,5.61,1
5.88,8.99,1
5.55,7.69,1
9.15,8.26,1
4.9,6.02,1
7.32,6.81,0
8.76,,1
6.66,5.21,0
8.77,5.46,1
6.33,7.81,1
6.0,6.96,1
6.69,6.67,0
7.01,7.18,1
4.5,6.51,1
7.58,4.55,0
6.94,8.78,1
6.42,6.71,0
6.5,8.46,1
8.57,,1
8.01,8.18,1
6.55,,1
8.92,,1
9.46,5.75,0
6.72,6.93,1
4.64,4.47,1
7.36,7.71,1
5.3,7.15,1
7.71,6.54,1
8.24,8.33,1
9.37,5.48,1
7.23,4.94,1
6.94,,1
6.66,6.88,0
5.7,7.12,0
7.0,8.16,0
8.22,5.42,1
7.17,6.01,1
8.06,6.54,1
7.53,6.44,1
7.35,6.53,1
7.02,8.18,1
6.88,,0
5.6,6.59,1
7.46,7.49,0
5.93,8.1,1
8.22,5.22,1
5.13,8.93,1
6.03,7.58,0
5.81,4.18,0
7.69,8.39,1
7.15,7.2,1
6.95,6.18,1
4.91,7.06,1
4.5,6.76,1
5.6,9.04,1
7.18,6.88,1
7.38,6.84,1
5.09,6.14,1
7.58,4.77,1
7.13,6.22,1
8.01,9.3,1
4.52,6.91,0
8.95,6.25,1
6.57,7.54,1
6.14,,1
7.53,7.18,1
7.61,5.43,1
6.48,7.28,1
6.71,,1
7.65,7.7,1
6.68,4.02,1
8.3,8.55,0
7.35,6.58,1
7.79,8.23,1
6.58,5.48,0
7.61,7.16,1
6.56,4.34,1
4.5,7.29,0
5.9,5.51,1
6.33,6.14,0
7.01,5.92,0
7.99,9.58,1
7.93,7.0,1
6.86,6.89,0
5.34,8.53,1
4.68,7.06,1
6.19,5.84,0
5.53,5.5,1
